google/unknown-error	Google returned an unknown error. We have received the error and we will do our best to analyze and correct it.	Google nous a retourné une erreur inconnue. Nous avons bien reçu l'erreur et nous allons tout faire pour l'analyser et la corriger.	O Google retornou um erro desconhecido. Recebemos o erro e faremos o possível para analisá -lo e corrigi -lo.	Google devolvió un error desconocido. Hemos recibido el error y haremos todo lo posible para analizarlo y corregirlo.	Google ha restituito un errore sconosciuto. Abbiamo ricevuto l'errore e faremo del nostro meglio per analizzarlo e correggerlo.	Google은 알 수없는 오류를 반환했습니다. 우리는 오류를 받았으며 그것을 분석하고 수정하기 위해 최선을 다할 것입니다.	Google вернул неизвестную ошибку. Мы получили ошибку и сделаем все возможное, чтобы проанализировать и исправить ее.	Google bilinmeyen bir hata döndürdü. Hatayı aldık ve analiz edip düzeltmek için elimizden geleni yapacağız.	Google hat einen unbekannten Fehler zurückgegeben. Wir haben den Fehler erhalten und werden unser Bestes tun, um ihn zu analysieren und zu korrigieren.										
google/auth/scope-not-found	You tried to log in without giving us the necessary rights for Foudroyer to work properly. Unfortunately, you have to accept all the rights for us to use the Google API to index your pages.	Vous avez essayé de vous connecter sans nous octroyer les droits nécessaires pour le bon fonctionnement de Foudroyer. Malheureusement, vous devez accepter tous les droits pour que nous puissions utiliser l'API de Google pour indexer vos pages.	Você tentou fazer login sem nos dar os direitos necessários para o Foudroyer trabalhar corretamente. Infelizmente, você deve aceitar todos os direitos para usarmos a API do Google para indexar suas páginas.	Intentaste iniciar sesión sin darnos los derechos necesarios para que Foudroyer funcione correctamente. Desafortunadamente, debe aceptar todos los derechos para que usemos la API de Google para indexar sus páginas.	Hai provato ad accedere senza darci i diritti necessari per FOUDROYER per lavorare correttamente. Sfortunatamente, devi accettare tutti i diritti per noi di utilizzare l'API di Google per indicizzare le tue pagine.	Foudroyer가 제대로 작동하는 데 필요한 권리를 제공하지 않고 로그인하려고했습니다. 불행히도 Google API를 사용하여 페이지를 색인 할 수있는 모든 권리를 수락해야합니다.	Вы попытались войти в систему, не предоставив нам прав, необходимых для корректной работы Foudroyer. К сожалению, вы должны принять все права, чтобы мы могли использовать Google API для индексации ваших страниц.	Foudroyer'in düzgün çalışması için bize gerekli hakları vermeden giriş yapmaya çalıştınız. Ne yazık ki, sayfalarınızı dizine eklemek için Google API'yi kullanabilmemiz için tüm hakları kabul etmeniz gerekiyor.	Sie haben versucht, sich einzuloggen, ohne uns die notwendigen Rechte zu geben, damit Foudroyer richtig funktioniert. Leider müssen Sie alle Rechte akzeptieren, damit wir die Google-API nutzen können, um Ihre Seiten zu indizieren.										
google/auth/refresh-token-error	Google informs us that your refresh token has expired. Please log back into Foudroyer to renew these credentials.	Google nous informe que vos le token de rafraîchissement est expiré. Merci de bien vouloir vous reconnecter sur Foudroyer pour renouveler ces identifiants.	O Google nos informa que seu token de atualização expirou. Faça logon no Foudroyer para renovar essas credenciais.	Google nos informa que su token de actualización ha expirado. Inicie sesión en Foudroyer para renovar estas credenciales.	Google ci informa che il tuo token di aggiornamento è scaduto. Accedi a FouDroyer per rinnovare queste credenziali.	Google은 새로 고침 토큰이 만료되었음을 알려줍니다. 이러한 자격 증명을 갱신하려면 Foudroyer에 다시 로그인하십시오.	Google сообщает, что срок действия вашего маркера обновления истек. Пожалуйста, снова войдите в систему Foudroyer, чтобы обновить эти учетные данные.	Google bize yenileme belirtecinizin süresinin dolduğunu bildirdi. Bu kimlik bilgilerini yenilemek için lütfen Foudroyer'da tekrar oturum açın.	Google teilt uns mit, dass Ihr Refresh-Token abgelaufen ist. Bitte loggen Sie sich wieder in Foudroyer ein, um die Zugangsdaten zu erneuern.										
google/indexation/quota-exceed	Google informs us that you have exceeded the daily quota for indexing your pages. Please come back tomorrow to index 200 pages per project again. (Contact us if it is less than 200).	Google nous informe que vous avez dépassé le quota quotidien pour indexer vos pages. Revenez demain pour pouvoir à nouveau indexer 200 pages par projets. (Contactez-nous si cela fait moins de 200).	O Google nos informa que você superou a cota diária para indexar suas páginas. Volte amanhã para indexar 200 páginas por projeto novamente. (Entre em contato conosco se for menos de 200).	Google nos informa que ha excedido la cuota diaria para indexar sus páginas. Vuelva mañana para indexar 200 páginas por proyecto nuevamente. (Contáctenos si es inferior a 200).	Google ci informa che hai superato la quota giornaliera per indicizzare le tue pagine. Per favore torna domani a indicizzare di nuovo 200 pagine per progetto. (Contattaci se è inferiore a 200).	Google은 귀하가 페이지를 색인화하기위한 일일 할당량을 초과했음을 알려줍니다. 내일 프로젝트 당 200 페이지를 다시 인덱싱으로 다시 오십시오. (200 미만인 경우 저희에게 연락하십시오).	Google сообщает нам, что вы превысили суточную норму индексации страниц. Пожалуйста, вернитесь завтра, чтобы снова проиндексировать 200 страниц на проект. (Свяжитесь с нами, если это меньше 200).	Google, sayfalarınızın indekslenmesi için günlük kotayı aştığınızı bildirdi. Lütfen proje başına 200 sayfayı indekslemek için yarın tekrar gelin. (200'den az ise bizimle iletişime geçin).	Google teilt uns mit, dass Sie die tägliche Quote für die Indizierung Ihrer Seiten überschritten haben. Bitte kommen Sie morgen wieder, um erneut 200 Seiten pro Projekt zu indizieren. (Kontaktieren Sie uns, wenn es weniger als 200 sind).										
website/not-found	The website you want to display on Foudroyer does not exist. Very curious that you see this message!	Le site web que vous souhaitez afficher sur Foudroyer n'existe pas. Très curieux que vous voyiez ce message !	O site que você deseja exibir no Foudroyer não existe. Muito curioso que você veja esta mensagem!	El sitio web que desea mostrar en Foudroyer no existe. ¡Muy curioso que veas este mensaje!	Il sito Web che desideri visualizzare su FouDroyer non esiste. Molto curioso di vedere questo messaggio!	Foudroyer에 표시하려는 웹 사이트는 존재하지 않습니다. 이 메시지를 본다는 것이 매우 궁금합니다!	Сайт, который Вы хотите отобразить на Foudroyer, не существует. Очень любопытно, что вы видите это сообщение!	Foudroyer'da görüntülemek istediğiniz web sitesi mevcut değil. Bu mesajı görmeniz çok ilginç!	Die Website, die Sie auf Foudroyer anzeigen möchten, existiert nicht. Sehr merkwürdig, dass Sie diese Meldung sehen!										
global/unknown-error	An unknown global error has appeared! Don't panic, we have received it in our system and will do everything to correct it!	Une erreur globale inconnue est apparue ! Pas de panique, nous l'avons bien reçu dans notre système et allons tout faire pour la corriger !	Um erro global desconhecido apareceu! Não entre em pânico, recebemos em nosso sistema e faremos de tudo para corrigi -lo!	¡Ha aparecido un error global desconocido! ¡No se asuste, lo hemos recibido en nuestro sistema y haremos todo lo posible para corregirlo!	È apparso un errore globale sconosciuto! Non farti prendere dal panico, l'abbiamo ricevuto nel nostro sistema e faremo di tutto per correggerlo!	알 수없는 글로벌 오류가 나타났습니다! 당황하지 말고, 우리는 우리 시스템에서 그것을 받았으며 그것을 수정하기 위해 모든 것을 할 것입니다!	Возникла неизвестная глобальная ошибка! Не паникуйте, мы получили ее в нашу систему и сделаем все возможное для ее исправления!	Bilinmeyen bir global hata ortaya çıktı! Panik yapmayın, sistemimize aldık ve düzeltmek için her şeyi yapacağız!	Ein unbekannter globaler Fehler ist aufgetreten! Keine Panik, wir haben ihn in unserem System erhalten und werden alles tun, um ihn zu beheben!										
user/not-found	Our database says you don't exist! How is this possible?	Notre base de données dit que vous n'existez pas ! Comment est-ce possible ?	Nosso banco de dados diz que você não existe! Como isso é possível?	¡Nuestra base de datos dice que no existes! ¿Cómo es esto posible?	Il nostro database dice che non esiste! Com'è possibile?	우리의 데이터베이스는 당신이 존재하지 않는다고 말합니다! 이것이 어떻게 가능한지?	Наша база данных говорит, что Вас не существует! Как такое возможно?	Veritabanımız var olmadığınızı söylüyor! Bu nasıl mümkün olabilir?	Unsere Datenbank sagt, dass Sie nicht existieren! Wie ist das möglich?										
user/not-authenticated	You have to be logged in to access some pages of Foudroyer !	Vous devez être connecté pour accéder à certaines pages de Foudroyer !	Você precisa ser conectado para acessar algumas páginas do Foudroyer!	¡Tienes que iniciar sesión para acceder a algunas páginas de Foudroyer!	Devi essere effettuato l'accesso per accedere ad alcune pagine di FouDroyer!	Foudroyer의 일부 페이지에 액세스하려면 로그인해야합니다!	Для доступа к некоторым страницам Foudroyer необходимо войти в систему!	Foudroyer'in bazı sayfalarına erişmek için giriş yapmış olmanız gerekmektedir!	Sie müssen eingeloggt sein, um auf einige Seiten von Foudroyer zugreifen zu können!										
google/browser-closed	You just closed the authentication interface without logging in 😱	Vous venez de fermer l'interface d'authentification sans vous connecter 😱	Você acabou de fechar a interface de autenticação sem fazer login 😱	Acaba de cerrar la interfaz de autenticación sin iniciar sesión en 😱	Hai appena chiuso l'interfaccia di autenticazione senza accedere a 😱	로그인하지 않고 인증 인터페이스를 닫았습니다.	Вы только что закрыли интерфейс аутентификации, не войдя в систему 😱.	Oturum açmadan kimlik doğrulama arayüzünü kapattınız 😱	Sie haben gerade die Authentifizierungsschnittstelle geschlossen, ohne sich anzumelden 😱.										
websites/success/create	Youhouuu! The website has been successfully added to Foudroyer!	Youhouuu ! Le site web a bien été ajouté à Foudroyer !	Vocêhouuu! O site foi adicionado com sucesso ao Foudroyer!	¡Ustedes! ¡El sitio web se ha agregado con éxito a Foudroyer!	Youhouuu! Il sito Web è stato aggiunto con successo a FouDroyer!	Youhouuu! 웹 사이트는 Foudroyer에 성공적으로 추가되었습니다!	Тыхуууу! Сайт успешно добавлен в Foudroyer!	Youhouuu! Web sitesi Foudroyer'a başarıyla eklendi!	Youhouuu! Die Website wurde erfolgreich zu Foudroyer hinzugefügt!										
websites/success/update	Good job! The website has been updated!	Bien joué ! Le site web est mis à jour !	Bom trabalho! O site foi atualizado!	¡Buen trabajo! ¡El sitio web ha sido actualizado!	Buon lavoro! Il sito web è stato aggiornato!	잘했어요! 웹 사이트가 업데이트되었습니다!	Хорошая работа! Сайт обновлен!	İyi iş çıkardınız! Web sitesi güncellendi!	Gute Arbeit! Die Website ist aktualisiert worden!										
websites/sitemap/update/empty	Please, we need a sitemap to work 😞 Without it, you won't be able to Foudroyer Google 😎	S'il vous plaît, il nous faut un sitemap pour fonctionner 😞 Sans quoi, vous ne pourrez pas Foudroyer Google 😎	Por favor, precisamos de um sitemap para trabalhar 😞 sem ele, você não poderá foder o Google 😎	Por favor, necesitamos un mapa del sitio para trabajar 😞 sin él, no podrá engañar a Google 😎	Per favore, abbiamo bisogno di una sitemap per funzionare 😞 senza di essa, non sarai in grado di fouDroyer Google 😎	제발, 우리는 작동하려면 사이트 맵이 필요합니다.	Пожалуйста, нам нужна карта сайта для работы 😞 Без нее вы не сможете фурор в Google 😎	Lütfen, çalışmak için bir site haritasına ihtiyacımız var 😞 Bu olmadan Google'ı Foudroyer edemezsiniz 😎	Bitte, wir brauchen eine Sitemap, um zu funktionieren 😞 Ohne sie, werden Sie nicht in der Lage sein, Foudroyer Google 😎.										
websites/not-selected	Before accessing this page, you need to select a website!	Avant d'accéder sur cette page, il faut sélectionner un site web !	Antes de acessar esta página, você precisa selecionar um site!	Antes de acceder a esta página, ¡debe seleccionar un sitio web!	Prima di accedere a questa pagina, devi selezionare un sito Web!	이 페이지에 액세스하기 전에 웹 사이트를 선택해야합니다!	Прежде чем перейти на эту страницу, необходимо выбрать сайт!	Bu sayfaya erişmeden önce bir web sitesi seçmeniz gerekiyor!	Bevor Sie diese Seite aufrufen, müssen Sie eine Website auswählen!										
indexation/success	Google has received your request! If the page has just been created, Google will index this page and if it has just been updated, Google will update it on the SERP! ⚡️⚡️⚡️⚡️⚡️⚡️	Google a bien reçu votre demande ! Si la page vient d'être créée, Google indexera cette page et si elle vient d'être mise à jour, Google la mettre à jour sur la SERP ! ⚡️⚡️⚡️⚡️⚡️⚡️	O Google recebeu sua solicitação! Se a página tiver sido criada, o Google indexará esta página e, se tiver sido atualizado, o Google a atualizará no SERP! ⚡️⚡️⚡️⚡️⚡️⚡️	¡Google ha recibido su solicitud! Si se acaba de crear la página, Google indexará esta página y si se acaba de actualizar, ¡Google la actualizará en el SERP! ⚡️⚡️⚡️⚡️⚡️⚡️	Google ha ricevuto la tua richiesta! Se la pagina è stata appena creata, Google indicizzerà questa pagina e se è stata appena aggiornata, Google la aggiornerà sulla SERP! ⚡️⚡️⚡️⚡️⚡️⚡️	Google이 귀하의 요청을 받았습니다! 페이지가 방금 생성 된 경우 Google 이이 페이지를 색인화하고 업데이트 된 경우 Google이 SERP에서 업데이트됩니다! ∎ ⚡닐람 바람추 야 bel킬 b늘	Google получил ваш запрос! Если страница только что была создана, Google проиндексирует ее, а если она только что была обновлена, Google обновит ее в SERP! ⚡️⚡️⚡️⚡️⚡️⚡️	Google talebinizi aldı! Sayfa yeni oluşturulmuşsa, Google bu sayfayı dizine ekleyecek ve yeni güncellenmişse, Google SERP'de güncelleyecektir! ⚡️⚡️⚡️⚡️⚡️⚡️	Google hat Ihre Anfrage erhalten! Wenn die Seite gerade erstellt wurde, wird Google diese Seite indizieren und wenn sie gerade aktualisiert wurde, wird Google sie in den SERP aktualisieren! ⚡️⚡️⚡️⚡️⚡️⚡️										
websites/credentials/update/empty	Please, we need an API key to work 😞 Without it, you won't be able to Foudroyer Google 😎	S'il vous plaît, il nous faut une clé d'API pour fonctionner 😞 Sans quoi, vous ne pourrez pas Foudroyer Google 😎	Por favor, precisamos de uma chave da API para trabalhar 😞 sem ele, você não poderá foder o Google 😎	Por favor, necesitamos una clave de API para trabajar 😞 sin ella, no podrá engañar a Google 😎	Per favore, abbiamo bisogno di una chiave API per lavorare 😞 Senza di essa, non sarai in grado di fouDroyer Google 😎	제발, 우리는 일을하려면 API 키가 필요합니다.	Пожалуйста, для работы нам нужен API-ключ 😞 Без него вы не сможете пользоваться сервисом Foudroyer Google 😎	Lütfen, çalışmak için bir API anahtarına ihtiyacımız var 😞 Bu olmadan Google'ı Foudroyer edemezsiniz 😎	Bitte, wir brauchen einen API-Schlüssel, um zu funktionieren 😞 Ohne ihn können Sie Google nicht foudroyer 😎.										
update-credentials/title	You can index {d} pages per day	Vous pouvez indexer {d} pages par jour	Pode indexar {d} páginas por dia	Puede indexar {d} páginas al día	È possibile indicizzare {d} pagine al giorno	하루에 {d} 페이지를 색인화할 수 있습니다.	Вы можете индексировать {d} страниц в день	Günde {d} sayfa dizine ekleyebilirsiniz	Sie können {d} Seiten pro Tag indizieren										
update-credentials/description	Each API key from the Google Search Console allows you to index 200 URLs daily. Upload multiple keys here to cumulatively increase your daily indexation limit, enabling you to index thousands of URLs.	Chaque clé API de la Search Console de Google vous permet d'indexer 200 URL par jour. Téléchargez plusieurs clés ici pour augmenter de façon cumulative votre limite d'indexation quotidienne, ce qui vous permettra d'indexer des milliers d'URL.	Cada chave de API da Consola de Pesquisa do Google permite-lhe indexar 200 URLs diariamente. Carregue várias chaves aqui para aumentar cumulativamente o seu limite de indexação diária, permitindo-lhe indexar milhares de URLs.	Cada clave API de Google Search Console te permite indexar 200 URL diarias. Cargue varias claves aquí para aumentar acumulativamente su límite de indexación diario, lo que le permitirá indexar miles de URL.	Ogni chiave API di Google Search Console consente di indicizzare 200 URL al giorno. Caricate qui più chiavi per aumentare cumulativamente il vostro limite di indicizzazione giornaliero, consentendovi di indicizzare migliaia di URL.	Google 검색 콘솔의 각 API 키를 사용하면 매일 200개의 URL을 색인할 수 있습니다. 여기에 여러 개의 키를 업로드하여 일일 색인 생성 한도를 누적적으로 늘려 수천 개의 URL을 색인 생성할 수 있습니다.	Каждый ключ API из Google Search Console позволяет ежедневно индексировать 200 URL-адресов. Загрузите сюда несколько ключей, чтобы в совокупности увеличить суточный лимит индексации и получить возможность индексировать тысячи URL.	Google Search Console'daki her API anahtarı günlük 200 URL dizine eklemenize olanak tanır. Günlük indeksleme limitinizi kümülatif olarak artırmak için buraya birden fazla anahtar yükleyin ve binlerce URL'yi indekslemenizi sağlayın.	Mit jedem API-Schlüssel der Google Search Console können Sie täglich 200 URLs indizieren. Laden Sie hier mehrere Schlüssel hoch, um Ihr tägliches Indizierungslimit zu erhöhen, damit Sie Tausende von URLs indizieren können.										
update-credentials/description/link	Follow the steps in this video to create an API key with the minimum access level.	Suivez les étapes de cette vidéo pour créer une clé d’API avec le niveau d’accès minimal.	Siga as etapas deste vídeo para criar uma chave da API com o nível mínimo de acesso.	Siga los pasos de este video para crear una clave API con el nivel de acceso mínimo.	Seguire i passaggi di questo video per creare una chiave API con il livello di accesso minimo.	이 비디오의 단계를 따라 최소 액세스 레벨이있는 ​​API 키를 만듭니다.	Для создания ключа API с минимальным уровнем доступа выполните действия, описанные в этом видеоролике.	Minimum erişim seviyesine sahip bir API anahtarı oluşturmak için bu videodaki adımları izleyin.	Folgen Sie den Schritten in diesem Video, um einen API-Schlüssel mit der Mindestzugriffsstufe zu erstellen.										
update-credentials/input/placeholder	Insert the newly acquired key here	Insérez ici la clé fraîchement acquise	Insira a chave recém -adquirida aqui	Inserte la tecla recién adquirida aquí	Inserire qui la chiave appena acquisita	새로 획득 한 키를 여기에 삽입하십시오	Вставьте сюда приобретенный ключ	Yeni alınan anahtarı buraya yerleştirin	Fügen Sie hier den neu erworbenen Schlüssel ein										
update-credentials/input/button	Add a key	Ajouter une clé	Adicione uma chave	Agregar una llave	Aggiungi una chiave	키를 추가하십시오	Добавить ключ	Bir anahtar ekleyin	Einen Schlüssel hinzufügen										
update-credentials/input/file-format	JSON format only	Format JSON uniquement	Apenas formato json	JSON FORMATO SOLO	Solo formato JSON	JSON 형식 만	Только формат JSON	Yalnızca JSON biçimi	Nur JSON-Format										
google/cloud/api-key/bad_formed	The API key you provided does not seem to be correct. Please follow the steps in the video and provide the key again.	La clé d'API que vous nous avez fourni ne semble pas bonne. Veuillez suivre les étapes de la vidéo et fournir une nouvelle fois la clé.	A chave da API que você forneceu não parece estar correta. Siga as etapas do vídeo e forneça a chave novamente.	La clave API que proporcionó no parece ser correcta. Siga los pasos del video y proporcione la clave nuevamente.	La chiave API che hai fornito non sembra essere corretta. Segui i passaggi del video e fornisci nuovamente la chiave.	제공 한 API 키는 정확하지 않은 것 같습니다. 비디오의 단계를 따르고 키를 다시 제공하십시오.	Похоже, что предоставленный вами ключ API не является корректным. Пожалуйста, выполните действия, описанные в видеоролике, и укажите ключ еще раз.	Sağladığınız API anahtarı doğru görünmüyor. Lütfen videodaki adımları izleyin ve anahtarı tekrar sağlayın.	Der von Ihnen angegebene API-Schlüssel scheint nicht korrekt zu sein. Bitte folgen Sie den Schritten im Video und geben Sie den Schlüssel erneut ein.										
google/cloud/api-key/permission-denied	Your service account linked to the Google Cloud key does not appear to be set as the domain owner in Search Console.	Votre service account lié à la clé Google Cloud ne semble pas être défini comme propriétaire du domaine dans la Search Console.	Sua conta de serviço vinculada à chave do Google Cloud não parece ser definida como o proprietário do domínio no console de pesquisa.	Su cuenta de servicio vinculada a la clave de Google Cloud no parece estar configurada como propietario del dominio en la consola de búsqueda.	Il tuo account di servizio collegato alla chiave di Google Cloud non sembra essere impostato come proprietario del dominio nella console di ricerca.	Google Cloud 키에 링크 된 서비스 계정은 검색 콘솔에서 도메인 소유자로 설정되지 않은 것으로 보입니다.	Ваш сервисный аккаунт, привязанный к ключу Google Cloud, по-видимому, не установлен в качестве владельца домена в Search Console.	Google Cloud anahtarına bağlı hizmet hesabınız Search Console'da alan adı sahibi olarak ayarlanmamış görünüyor.	Ihr mit dem Google Cloud-Schlüssel verknüpftes Service-Konto scheint in Search Console nicht als Eigentümer der Domain festgelegt zu sein.										
google/cloud/api-key/account-not-found	It looks like the service account linked to your Google Cloud key has been deleted.	Il semblerait que le Service Account lié à votre clé Google Cloud ait été supprimé.	Parece que a conta de serviço vinculada à sua chave de nuvem do Google foi excluída.	Parece que la cuenta de servicio vinculada a su clave de Google Cloud se ha eliminado.	Sembra che l'account di servizio collegato alla chiave di Google Cloud sia stato eliminato.	Google 클라우드 키에 링크 된 서비스 계정이 삭제 된 것 같습니다.	Похоже, что учетная запись службы, связанная с ключом Google Cloud, была удалена.	Google Cloud anahtarınıza bağlı hizmet hesabı silinmiş gibi görünüyor.	Es sieht so aus, als ob das mit Ihrem Google Cloud-Schlüssel verknüpfte Dienstkonto gelöscht wurde.										
notifications/actions/validate	Change the keys	Changer les clés	Altere as chaves	Cambiar las teclas	Cambia le chiavi	키를 변경하십시오	Изменение ключей	Tuşları değiştirin	Ändern Sie die Tasten										
notifications/actions/decline	Close	Fermer	Fechar	Cerca	Vicino	닫다	Закрыть	Kapat	Schließen Sie										
mobile/title	No mobile version 🙇	Pas de version mobile 🙇‍♂️	Sem versão móvel 🙇	No hay versión móvil 🙇	Nessuna versione mobile 🙇	모바일 버전 없음 🙇	Нет мобильной версии 🙇	Mobil versiyon yok 🙇	Keine mobile Version 🙇										
mobile/description	Foudroyer has been designed to view, analyze and index very simply and very quickly. So I haven't had the time to think about an interface as efficient on mobile. If members of the community express the need to have a mobile version, then I will develop it with great pleasure.	Foudroyer a été pensé pour voir, analyser et indexer très simplement et très rapidement. Je n’ai donc pas eu encore le temps de réfléchir à une interface aussi efficace sur mobile. Si des membres de la communauté formulent le besoin d’avoir une version mobile, alors je la développerai avec grand plaisir.	O Foudroyer foi projetado para visualizar, analisar e indexar de maneira muito simples e muito rápida. Portanto, não tive tempo de pensar em uma interface como eficiente no celular. Se os membros da comunidade expressarem a necessidade de ter uma versão móvel, desenvolverei -a com grande prazer.	Foudroyer ha sido diseñado para ver, analizar e indexar de manera muy simple y muy rápida. Así que no he tenido tiempo de pensar en una interfaz tan eficiente en el móvil. Si los miembros de la comunidad expresan la necesidad de tener una versión móvil, la desarrollaré con gran placer.	FouDroyer è stato progettato per visualizzare, analizzare e indicizzare molto semplicemente e molto rapidamente. Quindi non ho avuto il tempo di pensare a un'interfaccia come efficiente sul cellulare. Se i membri della comunità esprimono la necessità di avere una versione mobile, allora la svilupperò con grande piacere.	Foudroyer는 매우 간단하고 매우 빠르게보고, 분석 및 색인하도록 설계되었습니다. 그래서 나는 모바일에서 효율적인 인터페이스에 대해 생각할 시간이 없었습니다. 커뮤니티 회원이 모바일 버전을 가질 필요성을 표현하면 큰 즐거움으로 개발할 것입니다.	Foudroyer был разработан для простого и быстрого просмотра, анализа и индексации. Поэтому у меня не было времени подумать о таком же эффективном интерфейсе для мобильных устройств. Если участники сообщества выскажут пожелание о необходимости мобильной версии, то я с большим удовольствием ее разработаю.	Foudroyer çok basit ve çok hızlı bir şekilde görüntülemek, analiz etmek ve indekslemek için tasarlandı. Bu yüzden mobil cihazlarda bu kadar etkili bir arayüz düşünecek zamanım olmadı. Eğer topluluk üyeleri bir mobil versiyona ihtiyaç duyduklarını ifade ederlerse, bunu büyük bir zevkle geliştireceğim.	Foudroyer wurde so konzipiert, dass es sehr einfach und schnell angezeigt, analysiert und indexiert werden kann. Daher hatte ich noch keine Zeit, über eine ebenso effiziente Schnittstelle für Mobiltelefone nachzudenken. Wenn Mitglieder der Community den Wunsch nach einer mobilen Version äußern, werde ich sie mit großer Freude entwickeln.										
pages/next	Next	Suivant	Próximo	Próximo	Prossimo	다음	Далее	Sonraki	Weiter										
pages/previous	Previous	Précédent	Anterior	Anterior	Precedente	이전의	Предыдущий	Önceki	Vorherige										
reports/check-indexation/google/description	To see the indexing status of the site on Google, just click on the link below.	Pour voir l'état d'indexation du site sur Google, il vous suffit de cliquer sur le lien ci-dessous.	Para ver o status de indexação do site no Google, basta clicar no link abaixo.	Para ver el estado de indexación del sitio en Google, simplemente haga clic en el enlace a continuación.	Per vedere lo stato di indicizzazione del sito su Google, fai clic sul link in basso.	Google에서 사이트의 인덱싱 상태를 보려면 아래 링크를 클릭하십시오.	Чтобы посмотреть статус индексации сайта в Google, достаточно щелкнуть по ссылке ниже.	Sitenin Google'da indekslenme durumunu görmek için aşağıdaki linke tıklamanız yeterli.	Um den Indexierungsstatus der Website bei Google zu sehen, klicken Sie einfach auf den unten stehenden Link.										
reports/check-indexation/yandex/description	To see the indexing status of your site on Yandex, simply click on the link below and then click on the button to download the report. You must first create an account on Yandex and have added your site. If not, you will see a 404 error.	Pour voir l'état d'indexation du site sur Yandex, il vous suffit de cliquer sur le lien ci-dessous et ensuite cliquer sur le bouton pour télécharger le rapport. Vous devez au préalable créer un compte sur Yandex et avoir ajouté votre site. Auquel cas, vous verrez une erreur 404.	Para ver o status de indexação do seu site no Yandex, basta clicar no link abaixo e clique no botão para baixar o relatório. Você deve primeiro criar uma conta no Yandex e ter adicionado seu site. Caso contrário, você verá um erro 404.	Para ver el estado de indexación de su sitio en Yandex, simplemente haga clic en el enlace a continuación y luego haga clic en el botón para descargar el informe. Primero debe crear una cuenta en Yandex y haber agregado su sitio. Si no, verá un error 404.	Per visualizzare lo stato di indicizzazione del tuo sito su Yandex, fai semplicemente clic sul collegamento in basso e quindi fai clic sul pulsante per scaricare il report. Devi prima creare un account su Yandex e aver aggiunto il tuo sito. In caso contrario, vedrai un errore 404.	Yandex에서 사이트의 인덱싱 상태를 보려면 아래 링크를 클릭 한 다음 버튼을 클릭하여 보고서를 다운로드하십시오. 먼저 Yandex에서 계정을 생성하고 사이트를 추가해야합니다. 그렇지 않은 경우 404 오류가 표시됩니다.	Чтобы узнать статус индексации вашего сайта на Яндексе, просто перейдите по ссылке ниже и нажмите на кнопку для скачивания отчета. Сначала необходимо создать учетную запись на Яндексе и добавить свой сайт. В противном случае вы увидите ошибку 404.	Sitenizin Yandex'teki indekslenme durumunu görmek için aşağıdaki bağlantıya tıklamanız ve ardından raporu indirmek için butona tıklamanız yeterlidir. Öncelikle Yandex'te bir hesap oluşturmalı ve sitenizi eklemelisiniz. Aksi takdirde 404 hatası alırsınız.	Um den Indexierungsstatus Ihrer Website bei Yandex zu sehen, klicken Sie einfach auf den unten stehenden Link und dann auf die Schaltfläche zum Herunterladen des Berichts. Sie müssen zunächst ein Konto bei Yandex erstellen und Ihre Website hinzufügen. Wenn nicht, werden Sie einen 404-Fehler sehen.										
reports/check-indexation/bing/description	To see the indexing status of your site on Bing, simply click on the link below. You must first create an account on Bing and have added your site. If not, you will see a 404 error.	Pour voir l'état d'indexation du site sur Bing, il vous suffit de cliquer sur le lien ci-dessous. Vous devez au préalable créer un compte sur Bing et avoir ajouté votre site. Auquel cas, vous verrez une erreur 404.	Para ver o status de indexação do seu site no Bing, basta clicar no link abaixo. Você deve primeiro criar uma conta no Bing e ter adicionado seu site. Caso contrário, você verá um erro 404.	Para ver el estado de indexación de su sitio en Bing, simplemente haga clic en el enlace a continuación. Primero debe crear una cuenta en Bing y haber agregado su sitio. Si no, verá un error 404.	Per vedere lo stato di indicizzazione del tuo sito su Bing, fai semplicemente clic sul link in basso. È necessario prima creare un account su Bing e aver aggiunto il tuo sito. In caso contrario, vedrai un errore 404.	Bing에서 사이트의 인덱싱 상태를 보려면 아래 링크를 클릭하십시오. 먼저 Bing에서 계정을 만들고 사이트를 추가해야합니다. 그렇지 않은 경우 404 오류가 표시됩니다.	Чтобы узнать статус индексации вашего сайта на Bing, просто щелкните по ссылке ниже. Сначала необходимо создать учетную запись на Bing и добавить свой сайт. В противном случае вы увидите ошибку 404.	Sitenizin Bing'deki indekslenme durumunu görmek için aşağıdaki bağlantıya tıklamanız yeterlidir. Öncelikle Bing'de bir hesap oluşturmalı ve sitenizi eklemelisiniz. Aksi takdirde 404 hatası görürsünüz.	Um den Indexierungsstatus Ihrer Website bei Bing zu sehen, klicken Sie einfach auf den unten stehenden Link. Sie müssen zunächst ein Konto bei Bing erstellen und Ihre Website hinzufügen. Wenn nicht, sehen Sie einen 404-Fehler.										
reports/check-indexation/button	See the indexing status	Voir l'état d'indexation	Veja o status de indexação	Ver el estado de indexación	Vedere lo stato di indicizzazione	인덱싱 상태를 참조하십시오	Посмотреть статус индексирования	İndeksleme durumuna bakın	Siehe den Indizierungsstatus										
